"ID","For the reuse of data, which license(s) does your repository apply?","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","LGPL","AGPL","ODC","MIT",,"European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user"
83,"Archiving Plus/Premium 
- Access categories defined in Usage Regulations (classes 0 and A: the data can be downloaded directly and free of charge after registration; classes B and C (i.e., data is only passed on after approval by the data depositor) can be ordered with costs after registration) (see https://www.gesis.org/en/data-services/share-data/how-to-guide-data-sharing ""Access"") 
Archiving BASIS 
- Access categories defined in Terms of Use (Free without registration, Free with registration, Restricted, Embargo) (see https://www.gesis.org/en/data-services/share-data/how-to-guide-data-sharing ""Access"") 
- Creative Commons licenses 
- Free license text",,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,
85,"CC BY, CLARIN PUB/ACA/RES to name the most common",,,,,,,,,,,,,,,,,,,,
86,"Creative Commons Licences 
For some items all rights are reserved.",,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,
89,"CC-BY SA by default, but other custom licenses are also implemented.",,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,
92,"Creative Commons (CC) suite",,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,
95,"Depends on the data. Some data is licensed with CC BY 4.0. Most of our data are available by registering and logging in (B) for research, teaching and study (1174), and some (C) for research only (234). Some data (D) can only be accessed with permission of the provider (73).",,,,,,,,,,,,,,,,,,,,
96,"cc by-sa",,,,,,,,,,,,,,,,,,,,
97,"Creative Commons Licences 
For some items all rights are reserved",,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,
99,"Creative Commons, Custom licence",,,,,,,,,,,,,,,,,,,,
100,"NA",,,,,,,,,,,,,,,,,,,,
101,"Dependent on deposit - CC but also accept GNU and some others",,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,
103,"CC0, CC-BY",,,,,,,,,,,,,,,,,,,,
104,"The original license of the data",,,,,,,,,,,,,,,,,,,,
105,"CC-BY-4.0",,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,
107,"Creative Commons (all options)",,,,,,,,,,,,,,,,,,,,
108,"Creative Commons Licences 
For some items all rights are reserved",,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,
111,"This depends on the depositor, but all data has a licence",,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,
113,"Creative Commons Licences and for some items all rights are reserved",,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,
116,"https://metax.fairdata.fi/v3/reference-data/licenses?format=json",,,,,,,,,,,,,,,,,,,,
