"ID","For the reuse of code/software, which license(s) does your repository apply?","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","(L)GPL","Affero GPL","ODC","MIT","European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user","Mozilla Public License","Eclipse Public License","Other","ODbL",
85,"MIT as the most common",,,,,,,,,,,,1,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,
89,"European Union Public Licence (EUPL, v.1.2 or later) by default, but other custom licenses are also implemented.",,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Open Source, e.g. MIT, BSD 3, Apache, EUPL, GPL, LGPL, AGPL + CC0",1,,,,,1,1,,1,1,,,1,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Some code/software is open source available on Tuni GitLab.",,,,,,,,,,,,,,1,,,,,,,,,,
96,"cc by-sa",,,1,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Custom licence",,,,,,,,,,,,,,,,,,1,,,,,,
100,"It is open source but no specific licenses have been applied",,,,,,,,,,,,,,1,,,,,,,,"It is open source but no specific licenses have been applied",,
101,"Dependent on deposit - CC but also accept GNU and some others",,,,,,,,,,,,,,,,,,,,,,"Dependent on deposit - CC but also accept GNU and some others",,
102,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,
104,"BSD2",,,,,,1,,,,,,,,,,,,,,,,,,
105,"MIT",,,,,,,,,,,,1,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
107,"MIT License, Apache 2.0",,,,,,,1,,,,,1,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,"N/a",,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,
