"ID","For the reuse of digital objects other than metadata, data or code/software, which license(s) does your repository apply? Please specify the type of digital object and the license(s).","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","(L)GPL","Affero GPL","ODC","MIT","European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user","Mozilla Public License","Eclipse Public License","Other","ODbL","CERN Hardware licences"
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,
85,"?",,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Specific for Open Hardware, we support the 3 CERN Open Hardware licences: CERN-OHL-P, CERN-OHL-W, CERN-OHL-S.",,,,,,,,,,,,,,,,,,,,,,,,1
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,"n/a",,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,
100,"NA",,,,,,,,,,,,,,,,,,,,,,,,
101,"Unsure of what this refers to--we apply licenses generally at the deposit level, except for specific situations (e.g., software) requires or comes with a different license.",,,,,,,,,,,,,,,,,,,,,,"Unsure of what this refers to--we apply licenses generally at the deposit level, except for specific situations (e.g., software) requires or comes with a different license.",,
102,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,
105,"CC-BY-NC-4.0",,,,1,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,
111,"grey literature doesn't always have a license, but anything we produce is CC-BY 4.0",,1,,,,,,,,,,,,,,,,,,,,"grey literature doesn't always have a license, but anything we produce is CC-BY 4.0",,
112,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,
119,"The repository doesn't store digital object other than datasets.",,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,
138,"None",,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,
140,"CC0; CC BY 4.0; CC BY-SA 4.0; CC BY-NC 4.0; CC BY-NC-SA 4.0; Other (for restricted access objects)",1,1,1,1,1,,,,,,,,,,,,,,,,,"Other (for restricted access objects)",,
141,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/",,,,,,,,,,,,,,,,,,,,,,"Any licence can be used in compliance with the Loi pour une République numérique : https://www.data.gouv.fr/fr/pages/legal/licences/",,
143,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,
148,"N/A",,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,
