"ID","Metadata","Data","Code and software","Other digital objects"
86,"CC0","Creative Commons Licences
 For some items all rights are reserved.",,
87,,,,
88,,,,
89,"CC0","CC-BY SA by default, but other custom licenses are also implemented.","European Union Public Licence (EUPL, v.1.2 or later) by default, but other custom licenses are also implemented.",
90,,,,
91,,,,
92,"CC0","Creative Commons (CC) suite","Open Source, e.g. MIT, BSD 3, Apache, EUPL, GPL, LGPL, AGPL + CC0","Specific for Open Hardware, we support the 3 CERN Open Hardware licences: CERN-OHL-P, CERN-OHL-W, CERN-OHL-S."
93,,,,
94,,,,
95,"CC BY 4.0 and CC0","Depends on the data. Some data is licensed with CC BY 4.0. Most of our data are available by registering and logging in (B) for research, teaching and study (1174), and some (C) for research only (234). Some data (D) can only be accessed with permission of the provider (73).","Some code/software is open source available on Tuni GitLab.",
96,"cc by-sa","cc by-sa","cc by-sa","n/a"
97,"CC0","Creative Commons Licences
 For some items all rights are reserved",,
98,,,,
99,"CC0","Creative Commons, Custom licence","Custom licence",
100,"It is publicly available but no specific licenses have been applied","NA","It is open source but no specific licenses have been applied","NA"
101,"CC0","Dependent on deposit - CC but also accept GNU and some others","Dependent on deposit - CC but also accept GNU and some others","Unsure of what this refers to--we apply licenses generally at the deposit level, except for specific situations (e.g., software) requires or comes with a different license."
102,,,,
103,"CC0, CC-BY","CC0, CC-BY",,
104,"Not specified but open. Need to be specified.","The original license of the data","BSD2",
105,"CC-BY-4.0","CC-BY-4.0","MIT","CC-BY-NC-4.0"
106,,,,
107,"CC0","Creative Commons (all options)","MIT License, Apache 2.0",
108,"CCO","Creative Commons Licences
 For some items all rights are reserved",,
109,,,,
110,,,,
111,"CC-0 or OGL (for some we harvest)","This depends on the depositor, but all data has a licence","N/a","grey literature doesn't always have a license, but anything we produce is CC-BY 4.0"
112,,,,
113,"CC0","Creative Commons Licences and for some items all rights are reserved",,
114,,,,
115,,,,
116,"CC0","https://metax.fairdata.fi/v3/reference-data/licenses?format=json",,
117,"Creative Commons Public Domain - CC0","Creative Commons Attribution - CC BY (mostly). For some items all rights are reserved.","MIT, Apache, GNU, Creative Commons",
118,"CC0","Creative Commons Licences. For some items all rights are reserved.","Currently not implemented, as no software is deposited. Can easily be implemented, if needed.",
119,"CC0","Custom [ANC license](https://handbook.anc.plus.ac.at/terms/anc_license.html)","MIT for the software developed for the purpose of the repository. The repository doesn't store software artifacts.","The repository doesn't store digital object other than datasets."
120,"CC0","Creative Commons Licences, for some items all rights are reserved",,
